Player ID,Name,Team,Position,Cost,Total Points,Minutes,Goals Scored,Assists,Clean Sheets,Selected By %,ROI,Points per Minute,PpM ROI
342,Aké,Man City,2,5.0,92,1871,1,0,9,7.3,18.4,0.04917156600748263,0.9047568145376804
343,J.Alvarez,Man City,4,6.5,103,1448,9,3,5,2.4,15.846153846153847,0.07113259668508287,1.1271780705482364
344,Bernardo,Man City,3,6.5,106,2196,4,6,7,3.4,16.307692307692307,0.0482695810564663,0.7871654756900658
346,Cancelo,Man City,2,6.0,73,1273,2,2,6,5.6,12.166666666666666,0.05734485467399843,0.6976957318669809
349,De Bruyne,Man City,3,10.5,183,2413,7,18,10,5.1,17.428571428571427,0.07583920430998757,1.3217689894026403
350,Rúben,Man City,2,5.5,80,1997,0,0,9,6.6,14.545454545454545,0.04006009013520281,0.5826922201484045
352,Ederson M.,Man City,1,5.5,121,3150,0,1,11,14.5,22.0,0.03841269841269841,0.8450793650793651
353,Foden,Man City,3,7.5,142,1832,11,7,5,10.7,18.933333333333334,0.07751091703056769,1.4675400291120815
354,Grealish,Man City,3,7.5,121,2051,5,10,10,8.4,16.133333333333333,0.05899561189663579,0.9517958719323907
355,Haaland,Man City,4,14.0,272,2767,36,9,13,85.0,19.428571428571427,0.0983014094687387,1.9098559553926375
356,Kovačić,Man City,3,5.0,53,1699,1,2,4,1.8,10.6,0.031194820482636845,0.33066509711595055
357,Laporte,Man City,2,5.0,40,992,0,0,4,0.4,8.0,0.04032258064516129,0.3225806451612903
358,R.Lewis,Man City,2,4.5,29,900,0,0,2,0.3,6.444444444444445,0.03222222222222222,0.20765432098765432
359,Mahrez,Man City,3,7.5,126,1913,5,12,6,1.6,16.8,0.06586513329848406,1.1065342394145323
365,Rodrigo,Man City,3,5.5,108,2911,2,6,11,2.1,19.636363636363637,0.03710065269666781,0.7285219074982043
368,Stones,Man City,2,5.5,93,1844,2,2,7,20.2,16.90909090909091,0.050433839479392624,0.852790376651548
369,Walker,Man City,2,5.0,69,1953,0,0,7,1.8,13.8,0.03533026113671275,0.4875576036866359
209,Mount,Man Utd,3,7.0,82,1644,3,4,8,9.1,11.714285714285714,0.049878345498783457,0.5842891901286061
372,Antony,Man Utd,3,7.0,82,1803,4,2,12,1.9,11.714285714285714,0.04547975596228508,0.5327628555581967
373,B.Fernandes,Man Utd,3,8.5,176,3317,8,9,18,23.3,20.705882352941178,0.05305999397045523,1.0986539928000143
376,Casemiro,Man Utd,3,5.5,87,2122,4,3,10,3.6,15.818181818181818,0.040999057492931194,0.6485305457972753
377,Dalot,Man Utd,2,5.0,102,2152,1,2,10,2.3,20.4,0.047397769516728624,0.9669144981412638
379,Eriksen,Man Utd,3,6.0,103,2046,1,9,13,0.5,17.166666666666668,0.050342130987292275,0.8642065819485174
381,Fred,Man Utd,3,5.0,62,1228,2,3,4,0.2,12.4,0.050488599348534204,0.6260586319218241
382,Garnacho,Man Utd,3,5.0,39,557,3,2,0,2.1,7.8,0.07001795332136446,0.5461400359066427
385,Henderson,Man Utd,1,4.5,82,1620,0,0,6,2.2,18.22222222222222,0.050617283950617285,0.9223593964334705
386,Lindelof,Man Utd,2,4.5,57,1359,0,0,6,0.2,12.666666666666666,0.04194260485651214,0.5312729948491538
387,Maguire,Man Utd,2,4.5,39,762,0,0,5,0.2,8.666666666666666,0.051181102362204724,0.44356955380577423
389,Malacia,Man Utd,2,4.5,62,1391,0,0,7,0.3,13.777777777777779,0.04457225017972682,0.6141065580317917
390,Martial,Man Utd,4,6.5,66,970,6,3,7,0.8,10.153846153846153,0.06804123711340206,0.6908802537668516
391,Martinez,Man Utd,2,5.0,81,2113,1,0,9,5.5,16.2,0.038334122101277804,0.6210127780407004
392,McTominay,Man Utd,3,5.0,36,1149,1,0,4,0.1,7.2,0.031331592689295036,0.22558746736292426
395,R.Varane,Man Utd,2,5.0,77,1912,0,0,10,1.4,15.4,0.040271966527196654,0.6201882845188285
396,Rashford,Man Utd,3,9.0,205,2880,17,7,13,39.3,22.77777777777778,0.07118055555555555,1.6213348765432098
397,Sancho,Man Utd,3,7.0,105,1683,6,3,13,1.6,15.0,0.062388591800356503,0.9358288770053476
398,Shaw,Man Utd,2,5.5,124,2552,1,4,12,34.9,22.545454545454547,0.048589341692789965,1.0954687945283557
401,Wan-Bissaka,Man Utd,2,4.5,67,1432,0,0,8,1.7,14.88888888888889,0.0467877094972067,0.6966170080695221
402,Almirón,Newcastle,3,6.5,158,2487,11,4,15,5.2,24.307692307692307,0.06353035786087656,1.5442763910797686
405,Botman,Newcastle,2,4.5,129,3127,0,2,13,31.2,28.666666666666668,0.04125359769747362,1.1826031339942438
406,Bruno G.,Newcastle,3,6.0,107,2727,4,5,12,3.6,17.833333333333332,0.039237257059039236,0.699731084219533
407,Burn,Newcastle,2,4.5,129,3109,1,0,14,3.2,28.666666666666668,0.0414924412994532,1.1894499839176584
412,Gordon,Newcastle,3,5.5,68,1574,4,0,4,0.4,12.363636363636363,0.043202033036848796,0.5341342266374033
415,Isak,Newcastle,4,7.5,100,1520,10,2,4,12.4,13.333333333333334,0.06578947368421052,0.8771929824561403
416,Joelinton,Newcastle,3,6.0,115,2660,6,5,11,1.2,19.166666666666668,0.043233082706766915,0.8286340852130326
421,Longstaff,Newcastle,3,5.0,93,2514,1,5,13,0.2,18.6,0.03699284009546539,0.6880668257756564
423,Murphy,Newcastle,3,5.0,78,1230,4,2,3,0.3,15.6,0.06341463414634146,0.9892682926829268
424,Pope,Newcastle,1,5.5,157,3261,0,0,14,13.6,28.545454545454547,0.048144740877031585,1.3743135123079926
426,Saint-Maximin,Newcastle,3,6.0,66,1109,1,6,4,0.9,11.0,0.059513074842200184,0.654643823264202
427,Schär,Newcastle,2,5.0,139,3207,1,3,15,4.7,27.8,0.04334268787028375,1.2049267227938885
428,Targett,Newcastle,2,4.5,35,600,0,0,3,0.2,7.777777777777778,0.058333333333333334,0.4537037037037037
430,Trippier,Newcastle,2,6.5,198,3342,1,9,16,33.9,30.46153846153846,0.059245960502693,1.8047231045435712
432,Willock,Newcastle,3,5.5,123,2556,3,7,12,1.0,22.363636363636363,0.04812206572769953,1.0761843790012804
433,Wilson,Newcastle,4,8.0,157,1870,18,6,10,10.7,19.625,0.0839572192513369,1.6476604278074867
436,Aurier,Nott'm Forest,2,4.5,70,1943,1,0,6,0.4,15.555555555555555,0.03602676273803397,0.5604163092583062
437,Awoniyi,Nott'm Forest,4,6.5,100,1395,10,1,5,1.9,15.384615384615385,0.07168458781362007,1.1028398125172318
439,Boly,Nott'm Forest,2,4.5,37,684,0,1,3,0.2,8.222222222222221,0.054093567251461985,0.44476933073424296
441,Cook,Nott'm Forest,2,4.5,20,956,0,0,2,0.1,4.444444444444445,0.02092050209205021,0.09298000929800093
442,Danilo,Nott'm Forest,3,5.5,48,976,3,2,1,0.2,8.727272727272727,0.04918032786885246,0.4292101341281669
