Player ID,Name,Team,Position,Cost,Total Points,Minutes,Goals Scored,Assists,Clean Sheets,Selected By %,Status,ROI,Points per Minute,PpM ROI
577,Ogbonna,West Ham,2,4.5,44,1234,0,0,4,0.1,a,9.777777777777779,0.03565640194489465,0.3486403745723033
545,Aït-Nouri,Wolves,2,4.5,41,1067,1,0,4,0.3,a,9.11111111111111,0.038425492033739454,0.350098927418515
546,Bentley,Wolves,1,4.0,6,180,0,0,0,0.4,a,1.5,0.03333333333333333,0.05
547,Bolla,Wolves,2,4.0,0,0,0,0,0,0.5,a,0.0,,
548,Bueno,Wolves,2,4.5,41,1307,0,1,3,0.2,a,9.11111111111111,0.03136954858454476,0.28581144265918557
549,Chiquinho,Wolves,3,4.5,0,0,0,0,0,0.3,a,0.0,,
550,Cundle,Wolves,3,4.5,0,0,0,0,0,0.1,a,0.0,,
551,Dawson,Wolves,2,4.5,75,2134,1,1,7,0.3,a,16.666666666666668,0.035145267104029994,0.5857544517338332
552,Fábio Silva,Wolves,4,5.5,0,0,0,0,0,0.1,a,0.0,,
553,Giles,Wolves,2,4.5,0,0,0,0,0,0.2,a,0.0,,
554,Guedes,Wolves,3,5.5,29,703,1,1,2,0.1,a,5.2727272727272725,0.041251778093883355,0.21750937540411222
555,Hodge,Wolves,3,4.5,5,172,0,0,0,0.1,a,1.1111111111111112,0.029069767441860465,0.03229974160206719
556,Hoever,Wolves,2,4.0,0,0,0,0,0,1.0,a,0.0,,
557,Hee Chan,Wolves,3,5.5,60,1117,3,2,3,0.2,a,10.909090909090908,0.05371530886302596,0.5859851875966468
558,Raúl,Wolves,4,5.5,29,839,0,2,2,0.3,a,5.2727272727272725,0.03456495828367104,0.18225159822299275
